0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,label
7,1,0,0,0,0.33,0,0,0,0.37,1,1.17,1,2,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,6,2.52,0.17,0,0,0
18,1,0,0,0,0.31,0,0,0,0.45,1,1.29,1,2,1,1.75,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,14,3.73,0.29,0.39,0,0
8,1,0,0,0,0.43,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,8,3,0,0,0,0
12,1,0,0,0,0.42,0,0,0,0.7,2,1.71,1,3,1,2,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,7,2.69,0.57,0.33,0,0
10,1,0,0,0,0.4,0,0,0,0.31,1,1.11,1,2,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,9,3.12,0.11,0.4,0,0
7,1,0,0,0,0.43,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,7,2.81,0,0,0,0
15,1,0,0,0,0.33,0,0,0,0.43,1,1.25,1,2,1,1.25,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,12,3.51,0.25,0.4,0,0
14,1,0,0,0,0.43,0,0,0,0.5,2,1.56,1,2,1,2,0.28,1,1.08,1,2,1,1,0,1,1,1,1,1,1,0,9,3.09,0.56,0.29,0,0
6,1,0,0,0,0.33,0,0,0,0.4,1,1.2,1,2,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,5,2.25,0.2,0.33,0,0
13,1,0,0,0,0.33,0,0,0,0.5,1,1.44,1,2,1,2,0.29,1,1.09,1,2,1,1,0,1,1,1,1,1,1,0,9,3.09,0.44,0.38,0,0
15,1,0,0,0,0.31,0,0,0,0.5,1.5,1.5,1,2,1,2,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,10,3.24,0.5,0.27,0,0
15,1,0,0,0,0.43,0,0,0,0.67,1,1.5,1,3,1,2,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,10,3.19,0.4,0.13,0,0
14,1,0,0,0,0.36,0,0,0,0.37,1,1.17,1,2,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,12,3.52,0.17,0.29,0,0
17,1,0,0,0,0.35,0,0,0,0.66,1,1.55,1,3,1,2,0.35,1,1.14,1,2,1,1,0.26,1,1.07,1,2,1,1,0,11,3.34,0.45,0.35,0,0
5,1,0,0,0,0.4,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,5,2.32,0,0.4,0,0
9,1,0,0,0,0.33,0,0,0,0.33,1,1.13,1,2,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,8,2.95,0.13,0.33,0,0
14,1,0,0,0,0.43,0,0,0,0.66,2,1.75,1,3,1,2,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,8,2.9,0.63,0.36,0,0
5,1,0,0,0,0.4,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,5,2.32,0,0.4,0,0
15,1,0,0,0,0.31,0,0,0,0.5,1.5,1.5,1,2,1,2,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,10,3.24,0.5,0.27,0,0
9,1,0,0,0,0.33,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,9,3.17,0,0.33,0,0
11,1,0,0,0,0.3,0,0,0,0.42,1,1.22,1,2,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,9,3.1,0.22,0.27,0,0
22,1,0,0,0,0.41,0,0,0,0.72,2,1.69,1,3,1,2,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,13,3.57,0.54,0.36,0,0
18,1,0,0,0,0.31,0,0,0,0.45,1,1.29,1,2,1,1.75,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,14,3.73,0.29,0.39,0,0
12,1,0,0,0,0.36,0,0,0,0.4,1,1.2,1,2,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,10,3.25,0.2,0.17,0,0
12,1,0,0,0,0.42,0,0,0,0.67,1,1.33,1,3,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,9,3.02,0.22,0.33,0,0
15,1,0,0,0,0.43,0,0,0,0.67,1,1.5,1,3,1,2,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,10,3.19,0.4,0.13,0,0
13,1,0,0,0,0.33,0,0,0,0.46,1,1.3,1,2,1,1.75,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,10,3.24,0.3,0.31,0,0
17,1,0,0,0,0.35,0,0,0,0.66,1,1.55,1,3,1,2,0.35,1,1.14,1,2,1,1,0.26,1,1.07,1,2,1,1,0,11,3.34,0.45,0.35,0,0
10,1,0,0,0,0.4,0,0,0,0,2,2,2,2,2,2,0.4,2,1.8,1,2,2,2,0.49,2,1.6,1,2,1,2,0,5,2.32,1,0.2,0,0
